,name,Generation,Color,Number_Of_SIM,item_price,item_brand_name
1290,Samsung Galaxy S20 Ultra Dual SIM - 128GB,5G - Black,,,"4,599.00 SAR",samsung
1291,Samsung Galaxy S20 Ultra Dual SIM - 128GB,5G - Grey,,,"4,599.00 SAR",samsung
1292,Thuraya XT -Pro with Prepay SIM Card,,,,"4,280.00 SAR",thuraya
1293,Cat S61 Dual Sim,64GB,Black,,"4,200.00 SAR",cat
1294,Apple iPhone 7 Plus with FaceTime - 256GB,Gold,,,"4,100.00 SAR",apple
1295,Apple iPhone Xs Without FaceTime - 64GB,Gold,,,"4,099.00 SAR",apple
1296,Apple iPhone Xs Max Dual SIM With FaceTime - 64GB,Space Gray,,,"3,999.00 SAR",apple
1297,Samsung Galaxy Note 10 Plus - 256GB,5G,Aura White,,"3,899.00 SAR",samsung
1298,Sony Xperia 1 Dual SIM - 128GB,4G LTE,Black,,"3,699.00 SAR",sony
1299,Samsung Galaxy Note 10 Plus - 256GB,5G,Aura Glow,,"3,698.99 SAR",samsung
1300,Samsung Galaxy Note 10 Plus - 256GB,5G,Blue,,"3,698.99 SAR",samsung
1301,Samsung Galaxy Note 10 Plus - 256GB,5G,Aura Black,,"3,698.99 SAR",samsung
1302,Apple iPhone 11 with FaceTime - 256GB,4G LTE,White,Single SIM & E-SIM,"3,686.98 SAR",apple
1303,Apple iPhone 11 with FaceTime - 256GB,4G LTE,Red,Single SIM & E-SIM,"3,686.98 SAR",apple
1304,Apple iPhone 11 with FaceTime - 256GB,4G LTE,Green,Single SIM & E-SIM,"3,660.49 SAR",apple
1305,Apple iPhone 11 with FaceTime - 256GB,4G LTE,Black,Single SIM & E-SIM,"3,650.99 SAR",apple
1306,Samsung Galaxy S20 Plus Dual SIM - 128GB,5G - Black,,,"3,624.98 SAR",samsung
1307,Samsung Galaxy S20 Plus Dual SIM - 128GB,5G - Grey,,,"3,617.97 SAR",samsung
1308,Samsung Galaxy S20 Plus Dual SIM - 128GB,5G - Light Blue,,,"3,617.97 SAR",samsung
1309,Apple Iphone XR With Face Time - 64 GB,White,3 GB Ram,Single Sim & E-Sim,"3,599.00 SAR",apple
1310,Apple iPhone 11 with FaceTime - 256GB,4G LTE,Purple,Single SIM & E-SIM,"3,595.00 SAR",apple
1311,Huawei Mate 20 Pro Dual Sim - 128 GB,Emerald Green,6 GB Ram,,"3,550.00 SAR",huawei
1312,Apple iPhone 7 Plus with FaceTime - 128GB,Jet Black,,,"3,499.00 SAR",apple
1313,Huawei P40 Pro Single SIM and E-SIM - 256GB,5G - Black,,,"3,499.00 SAR",huawei
1314,Apple iPhone 8 Plus without FaceTime - 64GB,Gold,,,"3,499.00 SAR",apple
1315,Huawei P40 Pro Single SIM and E-SIM - 256GB,5G - Silver Frost,,,"3,499.00 SAR",huawei
1316,Apple iPhone XR without Face Time - 64GB,White ,,,"3,498.00 SAR",apple
1317,Samsung Galaxy S10 Plus Dual Sim - 1Tb,4G LTE,Ceramic White,Sm-G975FcwhXSg,"3,489.00 SAR",samsung
1318,Apple iPhone 11 with FaceTime - 256GB,4G LTE,Yellow,Single SIM & E-SIM,"3,487.97 SAR",apple
1319,Samsung Galaxy S20 Plus Dual SIM - 128GB,4G LTE - Light Blue,,,"3,398.98 SAR",samsung
1320,Mione K1 ROM 3GB RAM 32GB 5.99 Inch display 4G - Black,,,,"227,599.00 SAR",mione
1321,Porsche design Huawei Mate 20 RS Dual SIM - 512GB,4G LTE,Red,,"8,500.00 SAR",huawei
1322,Samsung Galaxy Fold Dual SIM - 512GB,4G LTE,Silver,,"7,587.00 SAR",samsung
1323,Samsung Galaxy Fold Dual SIM - 512GB,4G LTE,Black,,"7,099.00 SAR",samsung
1324,Blackberry P'9981 Porsche Design - 8GB,Black,,,"6,550.00 SAR",blackberry
1325,Apple iPhone 11 Pro Max with FaceTime - 512GB,4G LTE,Space Gray,Single SIM & E-SIM,"6,163.49 SAR",apple
1326,Apple iPhone 11 Pro Max with FaceTime - 512GB,4G LTE,Silver,Single SIM & E-SIM,"6,098.98 SAR",apple
1327,Apple Iphone XS Max With Facetime - 512 GB,Silver,4 GB Ram,Single Sim & E-Sim,"5,999.00 SAR",apple
1328,Apple Iphone XS Max With Facetime - 512 GB,Space Grey,4 GB Ram,Single Sim & E-Sim,"5,999.00 SAR",apple
1329,Google Glass Explorer Edition XE-C,,,,"5,950.00 SAR",g-plus
1330,Huawei Mate 9 Porsche Design Dual Sim - 256GB,4G LTE,Black,,"5,900.00 SAR",huawei
1331,Apple iPhone 11 Pro with FaceTime - 512GB,4G LTE,Space Gray,Single SIM & E-SIM,"5,820.99 SAR",apple
1332,Apple iPhone 11 Pro Max with FaceTime - 512GB,4G LTE,Gold,Single SIM & E-SIM,"5,810.96 SAR",apple
1333,Apple Iphone XS With Facetime - 512 GB,Gold,4 GB Ram,Single Sim & E-Sim,"5,799.00 SAR",apple
1334,Apple iPhone 11 Pro Max with FaceTime - 512GB,4G LTE,Midnight Green,Single SIM & E-SIM,"5,740.00 SAR",apple
1335,Apple iPhone 11 Pro with FaceTime - 256GB,4G LTE,Midnight Green,DUAL Physical SIM,"5,699.00 SAR",apple
1336,Apple iPhone Xs Max Without FaceTime - 512GB,Silver,,,"5,698.00 SAR",apple
1337,Apple iPhone Xs Max Without FaceTime - 512GB,Space Gray,6.5 Inch,,"5,596.00 SAR",apple
1338,Apple Iphone XS Max With Facetime - 512 GB,Gold,4 GB Ram,Single Sim & E-Sim,"5,569.00 SAR",apple
1339,Apple iPhone 11 Pro with FaceTime - 512GB,4G LTE,Midnight Green,Single SIM & E-SIM,"5,549.97 SAR",apple
1340,Apple iPhone Xs Max Without FaceTime - 512GB,Gold,,,"5,549.00 SAR",apple
1341,Apple iPhone 11 Pro Max Dual SIM with FaceTime - 64GB,4G LTE,Silver,,"5,499.00 SAR",apple
1342,Apple iPhone 11 Pro with FaceTime - 512GB,4G LTE,Gold,Single SIM & E-SIM,"5,369.00 SAR",apple
1343,Lamborghini 88 Tauri Dual Sim - 64GB,4G,Black/Grey,,"5,199.00 SAR",lamborghini
1344,Huawei Mate RS Porsche Design Dual SIM - 256GB,4G LTE,Black,,"4,999.00 SAR",huawei
1345,Samsung Galaxy Z Flip Dual SIM - 256GB,4G LTE - Black,,,"4,999.00 SAR",samsung
1346,Samsung Galaxy Z Flip Dual SIM - 256GB,4G LTE - Purple,,,"4,994.98 SAR",samsung
1347,Apple iPhone Xs Without FaceTime - 256GB,Silver,,,"4,848.00 SAR",apple
1348,Apple iPhone Xs Without FaceTime - 64GB,Space Gray,,,"4,799.00 SAR",apple
1349,Apple iPhone 11 Pro with FaceTime - 256GB,4G LTE,Silver,Single SIM & E-SIM,"4,698.99 SAR",apple
1350,Samsung Galaxy S20 Ultra Dual SIM - 128GB,5G - Black,,,"4,599.00 SAR",samsung
1351,Samsung Galaxy S20 Ultra Dual SIM - 128GB,5G - Grey,,,"4,599.00 SAR",samsung
1352,Thuraya XT -Pro with Prepay SIM Card,,,,"4,280.00 SAR",thuraya
1353,Cat S61 Dual Sim,64GB,Black,,"4,200.00 SAR",cat
1354,Apple iPhone 7 Plus with FaceTime - 256GB,Gold,,,"4,100.00 SAR",apple
1355,Apple iPhone Xs Without FaceTime - 64GB,Gold,,,"4,099.00 SAR",apple
1356,Apple iPhone Xs Max Dual SIM With FaceTime - 64GB,Space Gray,,,"3,999.00 SAR",apple
1357,Samsung Galaxy Note 10 Plus - 256GB,5G,Aura White,,"3,899.00 SAR",samsung
1358,Sony Xperia 1 Dual SIM - 128GB,4G LTE,Black,,"3,699.00 SAR",sony
1359,Samsung Galaxy Note 10 Plus - 256GB,5G,Aura Glow,,"3,698.99 SAR",samsung
1360,Samsung Galaxy Note 10 Plus - 256GB,5G,Blue,,"3,698.99 SAR",samsung
1361,Samsung Galaxy Note 10 Plus - 256GB,5G,Aura Black,,"3,698.99 SAR",samsung
1362,Apple iPhone 11 with FaceTime - 256GB,4G LTE,White,Single SIM & E-SIM,"3,686.98 SAR",apple
1363,Apple iPhone 11 with FaceTime - 256GB,4G LTE,Red,Single SIM & E-SIM,"3,686.98 SAR",apple
1364,Apple iPhone 11 with FaceTime - 256GB,4G LTE,Green,Single SIM & E-SIM,"3,660.49 SAR",apple
1365,Apple iPhone 11 with FaceTime - 256GB,4G LTE,Black,Single SIM & E-SIM,"3,650.99 SAR",apple
1366,Samsung Galaxy S20 Plus Dual SIM - 128GB,5G - Black,,,"3,624.98 SAR",samsung
1367,Samsung Galaxy S20 Plus Dual SIM - 128GB,5G - Grey,,,"3,617.97 SAR",samsung
1368,Samsung Galaxy S20 Plus Dual SIM - 128GB,5G - Light Blue,,,"3,617.97 SAR",samsung
1369,Apple Iphone XR With Face Time - 64 GB,White,3 GB Ram,Single Sim & E-Sim,"3,599.00 SAR",apple
1370,Apple iPhone 11 with FaceTime - 256GB,4G LTE,Purple,Single SIM & E-SIM,"3,595.00 SAR",apple
1371,Huawei Mate 20 Pro Dual Sim - 128 GB,Emerald Green,6 GB Ram,,"3,550.00 SAR",huawei
1372,Apple iPhone 7 Plus with FaceTime - 128GB,Jet Black,,,"3,499.00 SAR",apple
1373,Huawei P40 Pro Single SIM and E-SIM - 256GB,5G - Black,,,"3,499.00 SAR",huawei
1374,Apple iPhone 8 Plus without FaceTime - 64GB,Gold,,,"3,499.00 SAR",apple
1375,Huawei P40 Pro Single SIM and E-SIM - 256GB,5G - Silver Frost,,,"3,499.00 SAR",huawei
1376,Apple iPhone XR without Face Time - 64GB,White ,,,"3,498.00 SAR",apple
1377,Samsung Galaxy S10 Plus Dual Sim - 1Tb,4G LTE,Ceramic White,Sm-G975FcwhXSg,"3,489.00 SAR",samsung
1378,Apple iPhone 11 with FaceTime - 256GB,4G LTE,Yellow,Single SIM & E-SIM,"3,487.97 SAR",apple
1379,Samsung Galaxy S20 Plus Dual SIM - 128GB,4G LTE - Light Blue,,,"3,398.98 SAR",samsung
1380,Mione K1 ROM 3GB RAM 32GB 5.99 Inch display 4G - Black,,,,"227,599.00 SAR",mione
1381,Porsche design Huawei Mate 20 RS Dual SIM - 512GB,4G LTE,Red,,"8,500.00 SAR",huawei
1382,Samsung Galaxy Fold Dual SIM - 512GB,4G LTE,Silver,,"7,587.00 SAR",samsung
1383,Samsung Galaxy Fold Dual SIM - 512GB,4G LTE,Black,,"7,099.00 SAR",samsung
1384,Blackberry P'9981 Porsche Design - 8GB,Black,,,"6,550.00 SAR",blackberry
1385,Apple iPhone 11 Pro Max with FaceTime - 512GB,4G LTE,Space Gray,Single SIM & E-SIM,"6,163.49 SAR",apple
1386,Apple iPhone 11 Pro Max with FaceTime - 512GB,4G LTE,Silver,Single SIM & E-SIM,"6,098.98 SAR",apple
1387,Apple Iphone XS Max With Facetime - 512 GB,Silver,4 GB Ram,Single Sim & E-Sim,"5,999.00 SAR",apple
1388,Apple Iphone XS Max With Facetime - 512 GB,Space Grey,4 GB Ram,Single Sim & E-Sim,"5,999.00 SAR",apple
1389,Google Glass Explorer Edition XE-C,,,,"5,950.00 SAR",g-plus
1390,Huawei Mate 9 Porsche Design Dual Sim - 256GB,4G LTE,Black,,"5,900.00 SAR",huawei
1391,Apple iPhone 11 Pro with FaceTime - 512GB,4G LTE,Space Gray,Single SIM & E-SIM,"5,820.99 SAR",apple
1392,Apple iPhone 11 Pro Max with FaceTime - 512GB,4G LTE,Gold,Single SIM & E-SIM,"5,810.96 SAR",apple
1393,Apple Iphone XS With Facetime - 512 GB,Gold,4 GB Ram,Single Sim & E-Sim,"5,799.00 SAR",apple
1394,Apple iPhone 11 Pro Max with FaceTime - 512GB,4G LTE,Midnight Green,Single SIM & E-SIM,"5,740.00 SAR",apple
1395,Apple iPhone 11 Pro with FaceTime - 256GB,4G LTE,Midnight Green,DUAL Physical SIM,"5,699.00 SAR",apple
1396,Apple iPhone Xs Max Without FaceTime - 512GB,Silver,,,"5,698.00 SAR",apple
1397,Apple iPhone Xs Max Without FaceTime - 512GB,Space Gray,6.5 Inch,,"5,596.00 SAR",apple
1398,Apple Iphone XS Max With Facetime - 512 GB,Gold,4 GB Ram,Single Sim & E-Sim,"5,569.00 SAR",apple
1399,Apple iPhone 11 Pro with FaceTime - 512GB,4G LTE,Midnight Green,Single SIM & E-SIM,"5,549.97 SAR",apple
1400,Apple iPhone Xs Max Without FaceTime - 512GB,Gold,,,"5,549.00 SAR",apple
1401,Apple iPhone 11 Pro Max Dual SIM with FaceTime - 64GB,4G LTE,Silver,,"5,499.00 SAR",apple
1402,Apple iPhone 11 Pro with FaceTime - 512GB,4G LTE,Gold,Single SIM & E-SIM,"5,369.00 SAR",apple
1403,Lamborghini 88 Tauri Dual Sim - 64GB,4G,Black/Grey,,"5,199.00 SAR",lamborghini
1404,Huawei Mate RS Porsche Design Dual SIM - 256GB,4G LTE,Black,,"4,999.00 SAR",huawei
1405,Samsung Galaxy Z Flip Dual SIM - 256GB,4G LTE - Black,,,"4,999.00 SAR",samsung
1406,Samsung Galaxy Z Flip Dual SIM - 256GB,4G LTE - Purple,,,"4,994.98 SAR",samsung
1407,Apple iPhone Xs Without FaceTime - 256GB,Silver,,,"4,848.00 SAR",apple
1408,Apple iPhone Xs Without FaceTime - 64GB,Space Gray,,,"4,799.00 SAR",apple
1409,Apple iPhone 11 Pro with FaceTime - 256GB,4G LTE,Silver,Single SIM & E-SIM,"4,698.99 SAR",apple
1410,Samsung Galaxy S20 Ultra Dual SIM - 128GB,5G - Black,,,"4,599.00 SAR",samsung
1411,Samsung Galaxy S20 Ultra Dual SIM - 128GB,5G - Grey,,,"4,599.00 SAR",samsung
1412,Thuraya XT -Pro with Prepay SIM Card,,,,"4,280.00 SAR",thuraya
1413,Cat S61 Dual Sim,64GB,Black,,"4,200.00 SAR",cat
1414,Apple iPhone 7 Plus with FaceTime - 256GB,Gold,,,"4,100.00 SAR",apple
1415,Apple iPhone Xs Without FaceTime - 64GB,Gold,,,"4,099.00 SAR",apple
1416,Apple iPhone Xs Max Dual SIM With FaceTime - 64GB,Space Gray,,,"3,999.00 SAR",apple
1417,Samsung Galaxy Note 10 Plus - 256GB,5G,Aura White,,"3,899.00 SAR",samsung
1418,Sony Xperia 1 Dual SIM - 128GB,4G LTE,Black,,"3,699.00 SAR",sony
1419,Samsung Galaxy Note 10 Plus - 256GB,5G,Aura Glow,,"3,698.99 SAR",samsung
1420,Samsung Galaxy Note 10 Plus - 256GB,5G,Blue,,"3,698.99 SAR",samsung
1421,Samsung Galaxy Note 10 Plus - 256GB,5G,Aura Black,,"3,698.99 SAR",samsung
1422,Apple iPhone 11 with FaceTime - 256GB,4G LTE,White,Single SIM & E-SIM,"3,686.98 SAR",apple
1423,Apple iPhone 11 with FaceTime - 256GB,4G LTE,Red,Single SIM & E-SIM,"3,686.98 SAR",apple
1424,Apple iPhone 11 with FaceTime - 256GB,4G LTE,Green,Single SIM & E-SIM,"3,660.49 SAR",apple
1425,Apple iPhone 11 with FaceTime - 256GB,4G LTE,Black,Single SIM & E-SIM,"3,650.99 SAR",apple
1426,Samsung Galaxy S20 Plus Dual SIM - 128GB,5G - Black,,,"3,624.98 SAR",samsung
1427,Samsung Galaxy S20 Plus Dual SIM - 128GB,5G - Grey,,,"3,617.97 SAR",samsung
1428,Samsung Galaxy S20 Plus Dual SIM - 128GB,5G - Light Blue,,,"3,617.97 SAR",samsung
1429,Apple Iphone XR With Face Time - 64 GB,White,3 GB Ram,Single Sim & E-Sim,"3,599.00 SAR",apple
1430,Apple iPhone 11 with FaceTime - 256GB,4G LTE,Purple,Single SIM & E-SIM,"3,595.00 SAR",apple
1431,Huawei Mate 20 Pro Dual Sim - 128 GB,Emerald Green,6 GB Ram,,"3,550.00 SAR",huawei
1432,Apple iPhone 7 Plus with FaceTime - 128GB,Jet Black,,,"3,499.00 SAR",apple
1433,Huawei P40 Pro Single SIM and E-SIM - 256GB,5G - Black,,,"3,499.00 SAR",huawei
1434,Apple iPhone 8 Plus without FaceTime - 64GB,Gold,,,"3,499.00 SAR",apple
1435,Huawei P40 Pro Single SIM and E-SIM - 256GB,5G - Silver Frost,,,"3,499.00 SAR",huawei
1436,Apple iPhone XR without Face Time - 64GB,White ,,,"3,498.00 SAR",apple
1437,Samsung Galaxy S10 Plus Dual Sim - 1Tb,4G LTE,Ceramic White,Sm-G975FcwhXSg,"3,489.00 SAR",samsung
1438,Apple iPhone 11 with FaceTime - 256GB,4G LTE,Yellow,Single SIM & E-SIM,"3,487.97 SAR",apple
1439,Samsung Galaxy S20 Plus Dual SIM - 128GB,4G LTE - Light Blue,,,"3,398.98 SAR",samsung
1440,Mione K1 ROM 3GB RAM 32GB 5.99 Inch display 4G - Black,,,,"227,599.00 SAR",mione
1441,Porsche design Huawei Mate 20 RS Dual SIM - 512GB,4G LTE,Red,,"8,500.00 SAR",huawei
1442,Samsung Galaxy Fold Dual SIM - 512GB,4G LTE,Silver,,"7,587.00 SAR",samsung
1443,Samsung Galaxy Fold Dual SIM - 512GB,4G LTE,Black,,"7,099.00 SAR",samsung
1444,Blackberry P'9981 Porsche Design - 8GB,Black,,,"6,550.00 SAR",blackberry
1445,Apple iPhone 11 Pro Max with FaceTime - 512GB,4G LTE,Space Gray,Single SIM & E-SIM,"6,163.49 SAR",apple
1446,Apple iPhone 11 Pro Max with FaceTime - 512GB,4G LTE,Silver,Single SIM & E-SIM,"6,098.98 SAR",apple
1447,Apple Iphone XS Max With Facetime - 512 GB,Silver,4 GB Ram,Single Sim & E-Sim,"5,999.00 SAR",apple
1448,Apple Iphone XS Max With Facetime - 512 GB,Space Grey,4 GB Ram,Single Sim & E-Sim,"5,999.00 SAR",apple
1449,Google Glass Explorer Edition XE-C,,,,"5,950.00 SAR",g-plus
1450,Huawei Mate 9 Porsche Design Dual Sim - 256GB,4G LTE,Black,,"5,900.00 SAR",huawei
1451,Apple iPhone 11 Pro with FaceTime - 512GB,4G LTE,Space Gray,Single SIM & E-SIM,"5,820.99 SAR",apple
1452,Apple iPhone 11 Pro Max with FaceTime - 512GB,4G LTE,Gold,Single SIM & E-SIM,"5,810.96 SAR",apple
1453,Apple Iphone XS With Facetime - 512 GB,Gold,4 GB Ram,Single Sim & E-Sim,"5,799.00 SAR",apple
1454,Apple iPhone 11 Pro Max with FaceTime - 512GB,4G LTE,Midnight Green,Single SIM & E-SIM,"5,740.00 SAR",apple
1455,Apple iPhone 11 Pro with FaceTime - 256GB,4G LTE,Midnight Green,DUAL Physical SIM,"5,699.00 SAR",apple
1456,Apple iPhone Xs Max Without FaceTime - 512GB,Silver,,,"5,698.00 SAR",apple
1457,Apple iPhone Xs Max Without FaceTime - 512GB,Space Gray,6.5 Inch,,"5,596.00 SAR",apple
1458,Apple Iphone XS Max With Facetime - 512 GB,Gold,4 GB Ram,Single Sim & E-Sim,"5,569.00 SAR",apple
1459,Apple iPhone 11 Pro with FaceTime - 512GB,4G LTE,Midnight Green,Single SIM & E-SIM,"5,549.97 SAR",apple
1460,Apple iPhone Xs Max Without FaceTime - 512GB,Gold,,,"5,549.00 SAR",apple
1461,Apple iPhone 11 Pro Max Dual SIM with FaceTime - 64GB,4G LTE,Silver,,"5,499.00 SAR",apple
1462,Apple iPhone 11 Pro with FaceTime - 512GB,4G LTE,Gold,Single SIM & E-SIM,"5,369.00 SAR",apple
1463,Lamborghini 88 Tauri Dual Sim - 64GB,4G,Black/Grey,,"5,199.00 SAR",lamborghini
1464,Huawei Mate RS Porsche Design Dual SIM - 256GB,4G LTE,Black,,"4,999.00 SAR",huawei
1465,Samsung Galaxy Z Flip Dual SIM - 256GB,4G LTE - Black,,,"4,999.00 SAR",samsung
1466,Samsung Galaxy Z Flip Dual SIM - 256GB,4G LTE - Purple,,,"4,994.98 SAR",samsung
1467,Apple iPhone Xs Without FaceTime - 256GB,Silver,,,"4,848.00 SAR",apple
1468,Apple iPhone Xs Without FaceTime - 64GB,Space Gray,,,"4,799.00 SAR",apple
1469,Apple iPhone 11 Pro with FaceTime - 256GB,4G LTE,Silver,Single SIM & E-SIM,"4,698.99 SAR",apple
1470,Samsung Galaxy S20 Ultra Dual SIM - 128GB,5G - Black,,,"4,599.00 SAR",samsung
1471,Samsung Galaxy S20 Ultra Dual SIM - 128GB,5G - Grey,,,"4,599.00 SAR",samsung
1472,Thuraya XT -Pro with Prepay SIM Card,,,,"4,280.00 SAR",thuraya
1473,Cat S61 Dual Sim,64GB,Black,,"4,200.00 SAR",cat
1474,Apple iPhone 7 Plus with FaceTime - 256GB,Gold,,,"4,100.00 SAR",apple
1475,Apple iPhone Xs Without FaceTime - 64GB,Gold,,,"4,099.00 SAR",apple
1476,Apple iPhone Xs Max Dual SIM With FaceTime - 64GB,Space Gray,,,"3,999.00 SAR",apple
1477,Samsung Galaxy Note 10 Plus - 256GB,5G,Aura White,,"3,899.00 SAR",samsung
1478,Sony Xperia 1 Dual SIM - 128GB,4G LTE,Black,,"3,699.00 SAR",sony
1479,Samsung Galaxy Note 10 Plus - 256GB,5G,Aura Glow,,"3,698.99 SAR",samsung
1480,Samsung Galaxy Note 10 Plus - 256GB,5G,Blue,,"3,698.99 SAR",samsung
1481,Samsung Galaxy Note 10 Plus - 256GB,5G,Aura Black,,"3,698.99 SAR",samsung
1482,Apple iPhone 11 with FaceTime - 256GB,4G LTE,White,Single SIM & E-SIM,"3,686.98 SAR",apple
1483,Apple iPhone 11 with FaceTime - 256GB,4G LTE,Red,Single SIM & E-SIM,"3,686.98 SAR",apple
1484,Apple iPhone 11 with FaceTime - 256GB,4G LTE,Green,Single SIM & E-SIM,"3,660.49 SAR",apple
1485,Apple iPhone 11 with FaceTime - 256GB,4G LTE,Black,Single SIM & E-SIM,"3,650.99 SAR",apple
1486,Samsung Galaxy S20 Plus Dual SIM - 128GB,5G - Black,,,"3,624.98 SAR",samsung
1487,Samsung Galaxy S20 Plus Dual SIM - 128GB,5G - Grey,,,"3,617.97 SAR",samsung
1488,Samsung Galaxy S20 Plus Dual SIM - 128GB,5G - Light Blue,,,"3,617.97 SAR",samsung
1489,Apple Iphone XR With Face Time - 64 GB,White,3 GB Ram,Single Sim & E-Sim,"3,599.00 SAR",apple
1490,Apple iPhone 11 with FaceTime - 256GB,4G LTE,Purple,Single SIM & E-SIM,"3,595.00 SAR",apple
1491,Huawei Mate 20 Pro Dual Sim - 128 GB,Emerald Green,6 GB Ram,,"3,550.00 SAR",huawei
1492,Apple iPhone 7 Plus with FaceTime - 128GB,Jet Black,,,"3,499.00 SAR",apple
1493,Huawei P40 Pro Single SIM and E-SIM - 256GB,5G - Black,,,"3,499.00 SAR",huawei
1494,Apple iPhone 8 Plus without FaceTime - 64GB,Gold,,,"3,499.00 SAR",apple
1495,Huawei P40 Pro Single SIM and E-SIM - 256GB,5G - Silver Frost,,,"3,499.00 SAR",huawei
1496,Apple iPhone XR without Face Time - 64GB,White ,,,"3,498.00 SAR",apple
1497,Samsung Galaxy S10 Plus Dual Sim - 1Tb,4G LTE,Ceramic White,Sm-G975FcwhXSg,"3,489.00 SAR",samsung
1498,Apple iPhone 11 with FaceTime - 256GB,4G LTE,Yellow,Single SIM & E-SIM,"3,487.97 SAR",apple
1499,Samsung Galaxy S20 Plus Dual SIM - 128GB,4G LTE - Light Blue,,,"3,398.98 SAR",samsung
1500,Mione K1 ROM 3GB RAM 32GB 5.99 Inch display 4G - Black,,,,"227,599.00 SAR",mione
1501,Porsche design Huawei Mate 20 RS Dual SIM - 512GB,4G LTE,Red,,"8,500.00 SAR",huawei
1502,Samsung Galaxy Fold Dual SIM - 512GB,4G LTE,Silver,,"7,587.00 SAR",samsung
1503,Samsung Galaxy Fold Dual SIM - 512GB,4G LTE,Black,,"7,099.00 SAR",samsung
1504,Blackberry P'9981 Porsche Design - 8GB,Black,,,"6,550.00 SAR",blackberry
1505,Apple iPhone 11 Pro Max with FaceTime - 512GB,4G LTE,Space Gray,Single SIM & E-SIM,"6,163.49 SAR",apple
1506,Apple iPhone 11 Pro Max with FaceTime - 512GB,4G LTE,Silver,Single SIM & E-SIM,"6,098.98 SAR",apple
1507,Apple Iphone XS Max With Facetime - 512 GB,Silver,4 GB Ram,Single Sim & E-Sim,"5,999.00 SAR",apple
1508,Apple Iphone XS Max With Facetime - 512 GB,Space Grey,4 GB Ram,Single Sim & E-Sim,"5,999.00 SAR",apple
1509,Google Glass Explorer Edition XE-C,,,,"5,950.00 SAR",g-plus
1510,Huawei Mate 9 Porsche Design Dual Sim - 256GB,4G LTE,Black,,"5,900.00 SAR",huawei
1511,Apple iPhone 11 Pro with FaceTime - 512GB,4G LTE,Space Gray,Single SIM & E-SIM,"5,820.99 SAR",apple
1512,Apple iPhone 11 Pro Max with FaceTime - 512GB,4G LTE,Gold,Single SIM & E-SIM,"5,810.96 SAR",apple
1513,Apple Iphone XS With Facetime - 512 GB,Gold,4 GB Ram,Single Sim & E-Sim,"5,799.00 SAR",apple
1514,Apple iPhone 11 Pro Max with FaceTime - 512GB,4G LTE,Midnight Green,Single SIM & E-SIM,"5,740.00 SAR",apple
1515,Apple iPhone 11 Pro with FaceTime - 256GB,4G LTE,Midnight Green,DUAL Physical SIM,"5,699.00 SAR",apple
1516,Apple iPhone Xs Max Without FaceTime - 512GB,Silver,,,"5,698.00 SAR",apple
1517,Apple iPhone Xs Max Without FaceTime - 512GB,Space Gray,6.5 Inch,,"5,596.00 SAR",apple
1518,Apple Iphone XS Max With Facetime - 512 GB,Gold,4 GB Ram,Single Sim & E-Sim,"5,569.00 SAR",apple
1519,Apple iPhone 11 Pro with FaceTime - 512GB,4G LTE,Midnight Green,Single SIM & E-SIM,"5,549.97 SAR",apple
1520,Apple iPhone Xs Max Without FaceTime - 512GB,Gold,,,"5,549.00 SAR",apple
1521,Apple iPhone 11 Pro Max Dual SIM with FaceTime - 64GB,4G LTE,Silver,,"5,499.00 SAR",apple
1522,Apple iPhone 11 Pro with FaceTime - 512GB,4G LTE,Gold,Single SIM & E-SIM,"5,369.00 SAR",apple
1523,Lamborghini 88 Tauri Dual Sim - 64GB,4G,Black/Grey,,"5,199.00 SAR",lamborghini
1524,Huawei Mate RS Porsche Design Dual SIM - 256GB,4G LTE,Black,,"4,999.00 SAR",huawei
1525,Samsung Galaxy Z Flip Dual SIM - 256GB,4G LTE - Black,,,"4,999.00 SAR",samsung
1526,Samsung Galaxy Z Flip Dual SIM - 256GB,4G LTE - Purple,,,"4,994.98 SAR",samsung
1527,Apple iPhone Xs Without FaceTime - 256GB,Silver,,,"4,848.00 SAR",apple
1528,Apple iPhone Xs Without FaceTime - 64GB,Space Gray,,,"4,799.00 SAR",apple
1529,Apple iPhone 11 Pro with FaceTime - 256GB,4G LTE,Silver,Single SIM & E-SIM,"4,698.99 SAR",apple
1530,Samsung Galaxy S20 Ultra Dual SIM - 128GB,5G - Black,,,"4,599.00 SAR",samsung
1531,Samsung Galaxy S20 Ultra Dual SIM - 128GB,5G - Grey,,,"4,599.00 SAR",samsung
1532,Thuraya XT -Pro with Prepay SIM Card,,,,"4,280.00 SAR",thuraya
1533,Cat S61 Dual Sim,64GB,Black,,"4,200.00 SAR",cat
1534,Apple iPhone 7 Plus with FaceTime - 256GB,Gold,,,"4,100.00 SAR",apple
1535,Apple iPhone Xs Without FaceTime - 64GB,Gold,,,"4,099.00 SAR",apple
1536,Apple iPhone Xs Max Dual SIM With FaceTime - 64GB,Space Gray,,,"3,999.00 SAR",apple
1537,Samsung Galaxy Note 10 Plus - 256GB,5G,Aura White,,"3,899.00 SAR",samsung
1538,Sony Xperia 1 Dual SIM - 128GB,4G LTE,Black,,"3,699.00 SAR",sony
1539,Samsung Galaxy Note 10 Plus - 256GB,5G,Aura Glow,,"3,698.99 SAR",samsung
